Model,Group,Type,MAPE
SOC50,NCMCY25-05_1,Current,1.8606674
SOC50,NCMCY25-05_1,Current,0.684118099
SOC50,NCMCY25-05_1,Current,0.779294493
SOC50,NCMCY25-05_1,Current,0.988973448
SOC50,NCMNCACY25-05_1,Current,0.633795856
SOC50,NCMNCACY25-05_1,Current,0.392572088
SOC50,NCMNCACY25-05_1,Current,1.057882671
SOC50,NCMNCACY25-05_1,Current,0.623500975
SOC50,NCMNCACY25-05_1,Current,0.455102321
SOC50,NCMNCACY25-05_1,Current,0.50821533
SOC50,NCMNCACY25-05_1,Current,0.535026169
SOC50,NCMNCACY25-05_1,Current,0.50747818
SOC50,NCMNCACY25-05_1,Current,0.51729948
SOC50,NCMNCACY25-05_1,Current,0.522004226
SOC50,NCMNCACY25-05_2,Current,0.713700902
SOC50,NCMNCACY25-05_2,Current,0.750860849
SOC50,NCMNCACY25-05_2,Current,0.756599375
SOC50,NCMNCACY25-05_2,Current,0.747786066
SOC50,NCMNCACY25-05_2,Current,0.701442733
SOC50,NCMNCACY25-05_2,Current,0.924918901
SOC50,NCMNCACY25-05_2,Current,2.35314552
SOC50,NCMNCACY25-05_2,Current,1.059906797
SOC50,NCMNCACY25-05_2,Current,0.806795238
SOC50,NCMNCACY25-05_2,Current,0.955884273
SOC50,NCMNCACY25-05_4,Current,2.588043902
SOC50,NCMNCACY25-05_4,Current,1.259033939
SOC50,NCMNCACY25-05_4,Current,2.180191478
SOC50,NCMNCACY25-05_4,Current,1.663971793
SOC50,NCMNCACY25-05_4,Current,1.651873998
SOC50,NCMNCACY25-05_4,Current,2.288999472
SOC50,NCMNCACY25-05_4,Current,1.427303235
SOC50,NCMNCACY25-05_4,Current,1.169627036
SOC50,NCMNCACY25-05_4,Current,1.613496246
SOC50,NCMNCACY25-05_4,Current,1.674668001
Base,Random,Random,2.645173375
Base,Random,Random,2.971374147
Base,Random,Random,2.878102494
Base,Random,Random,2.750616347
Base,Random,Random,3.035083229
Base,Random,Random,2.964853182
Base,Random,Random,2.578690562
Base,Random,Random,2.857938332
Base,Random,Random,2.661482552
